"영화명","개봉일","매출액","누적매출액","관객수","누적관객수","스크린수","상영횟수","제작사","배급사","등급","장르","감독","배우"
"엄마친구의맛",2018-12-28,5000,5000,1,1,1,1,"스마일컨텐츠","스마일컨텐츠","청소년관람불가","멜로/로맨스","정민용",""
"엄마친구의맛-무삭제",2019-02-28,5000,5000,1,1,1,1,"스마일컨텐츠","스마일컨텐츠","청소년관람불가","멜로/로맨스","정민용",""
"엄마학개론-무삭제",2019-06-05,5000,5000,1,1,1,1,"스마일컨텐츠","스마일컨텐츠","청소년관람불가","멜로/로맨스","차지민",""
"여교사 : 제자와의 사랑 무삭제",2018-11-16,6000,6000,1,1,1,1,"(주)영화사가을","(주)영화사가을","청소년관람불가","멜로/로맨스","최민",""
"여기어때 빈방있나요",2019-01-18,2000,2000,1,1,1,1,"(주)엔트리미디어","(주)엔트리미디어","청소년관람불가","멜로/로맨스","준세","이은미,도모세"
"여대생 출장맛사지 무삭제판",2019-10-24,5000,5000,1,1,1,1,"(주)케이피에이기획","(주)케이피에이기획","청소년관람불가","멜로/로맨스","천성준",""
"여대생들의은밀한아르바이트-무삭제",2019-07-26,5000,5000,1,1,1,1,"에이원 미디어","에이원 미디어","청소년관람불가","멜로/로맨스","천성준",""
"여대생출장맛사지",2019-08-09,5000,5000,1,1,1,1,"(주)케이피에이기획","(주)케이피에이기획","청소년관람불가","멜로/로맨스","천성준",""
"여배우와 동거-무삭제",2018-08-31,5000,5000,1,1,1,1,"(주)케이피에이기획","(주)케이피에이기획","청소년관람불가","멜로/로맨스","이슬",""
"여선생2 무삭제",2019-05-23,5000,5000,1,1,1,1,"(주)영화사히트","(주)영화사히트","청소년관람불가","코미디","김대성",""
"여성친구",2019-08-30,1000,1000,1,1,1,1,"(주)피에이치미디어","(주)피에이치미디어","청소년관람불가","성인물(에로)","우기상",""
"여자 보험왕 : 그녀의 영업비밀 무삭제",2018-01-16,6000,6000,1,1,1,1,"(주)영화사 사계절","(주)영화사 사계절","청소년관람불가","멜로/로맨스","곽영근","오주하"
"여자 하숙집 3 무삭제",2019-12-12,6000,6000,1,1,1,1,"(주)영화사가을","(주)영화사가을","청소년관람불가","멜로/로맨스","조태호",""
"여자 하숙집2 무삭제",2018-11-14,6000,6000,1,1,1,1,"(주)영화사가을","(주)영화사가을","청소년관람불가","멜로/로맨스","이리단","이채담"
"여자들 : 섹스의 만족도 무삭제",2018-03-20,6000,6000,1,1,1,1,"(주)영화사가을","(주)영화사가을","청소년관람불가","멜로/로맨스,드라마","김부곤",""
"여직원들 : 2대2 섹스",2018-06-12,6000,6000,1,1,1,1,"(주)영화사가을","(주)영화사가을","청소년관람불가","멜로/로맨스","이상민","미즈미 사키"
"여직원들 : 2대2 섹스 무삭제",2018-07-23,6000,6000,1,1,1,1,"(주)영화사가을","(주)영화사가을","청소년관람불가","멜로/로맨스","이상민",""
"여직원들 : 직장 연애사 2 무삭제",2019-06-18,6000,6000,1,1,1,1,"(주)영화사가을","(주)영화사가을","청소년관람불가","멜로/로맨스","조태호",""
"여직원의 맛",2018-05-28,2000,2000,1,1,1,1,"㈜리필름","㈜리필름","청소년관람불가","멜로/로맨스","최우성","이지현"
"여친 언니 무삭제",2018-11-13,5000,5000,1,1,1,1,"(주)영화사가을","(주)영화사가을","청소년관람불가","멜로/로맨스","조태호",""
"여친 엄마 3",2019-03-28,6000,6000,1,1,1,1,"(주)영화사가을","(주)영화사가을","청소년관람불가","멜로/로맨스","김종민","백세리,안소희"
"여친엄마 2 무삭제",2018-11-08,6000,6000,1,1,1,1,"(주)영화사가을","(주)영화사가을","청소년관람불가","멜로/로맨스","최민","이채담"
